from,to
"FREEMAN, GORDON JAMES","DEKRUYFF, ROSEMARIE H"
"FLUM, DAVID R","CUMMINGS, DAVID EUSTACE"
"PUISIS, MICHAEL","YOUNG, JEREMY DAVID"
"PUISIS, MICHAEL","OUELLET, LAWRENCE J"
"YOUNG, JEREMY DAVID","OUELLET, LAWRENCE J"
"FLUM, DAVID R","CUMMINGS, DAVID EUSTACE"
"GLICKMAN, MICHAEL STEPHEN","PAMER, ERIC G."
"SMITH, ISSAR","RODRIGUEZ, GLORIA MARCELA"
"ROOD, JULIAN","MC CLANE, BRUCE A"
"ROOD, JULIAN","UZAL, FRANCISCO A"
"MC CLANE, BRUCE A","UZAL, FRANCISCO A"
"HORNER, PHILIP J","MORITZ, CHET T."
"SPENCER, PAULETTE","LAURENCE, JENNIFER S."
"WANG, YONG","YU, QINGSONG"
"CHE, JIANWEI","SAUER, KARSTEN"
"SUN, YUYU","YEH, CHIH-KO"
"DOERING, TAMARA L","BRENT, MICHAEL R"
"MOBASHERY, SHAHRIAR","CHANG, MAYLAND F"
"PARKER, B EUGENE","GAESSER, GLENN A"
"MCQUEEN, MATTHEW B","BOARDMAN, JASON D"
"MEYA, DAVID BISAGAYA","KAMBUGU, ANDREW DDUNGU"
"MURPHY, REGINA M.","JOHNSON, JEFFREY A"
"HANNON, TAMARA S","CARROLL, AARON E."
"WIDAMAN, KEITH F.","CONGER, RAND DONALD"
"WIDAMAN, KEITH F.","ROBINS, RICHARD W"
"CONGER, RAND DONALD","ROBINS, RICHARD W"
"WIDAMAN, KEITH F.","CONGER, RAND DONALD"
"WIDAMAN, KEITH F.","ROBINS, RICHARD W"
"CONGER, RAND DONALD","ROBINS, RICHARD W"
"MINER, JEFFREY H","SWAT, WOJCIECH A"
"HRUBY, VICTOR J","MORSE, DAVID L"
"KOH, JAMES","OLSON, JOHN A."
"HAIMAN, CHRISTOPHER ALAN","COZEN, WENDY"
"TONONI, GIULIO","CIRELLI, CHIARA"
"YE, KEQIANG","LIN, XI"
"MERRITT, ETHAN A","WHITE, ARTHUR CLINTON"
"MERRITT, ETHAN A","VAN VOORHIS, WESLEY C"
"MERRITT, ETHAN A","PARSONS, MARILYN"
"WHITE, ARTHUR CLINTON","VAN VOORHIS, WESLEY C"
"WHITE, ARTHUR CLINTON","PARSONS, MARILYN"
"VAN VOORHIS, WESLEY C","PARSONS, MARILYN"
"WAGENKNECHT, LYNNE E","WATANABE, RICHARD M"
"GREGORY-KSANDER, MEREDITH","GILMORE, MICHAEL S"
"COOPER, LESLIE T","CUNNINGHAM, MADELEINE W."
"AKESON, MARK A","LIEBERMAN, KATHY"
"WATHINGTON, HEATHER D","TAI, ROBERT H"
"ELHADAD, NOEMIE","CHAPMAN, WENDY W."
"ELHADAD, NOEMIE","SAVOVA, GUERGANA K."
"CHAPMAN, WENDY W.","SAVOVA, GUERGANA K."
"YEN, SHIRLEY","KELLER, MARTIN B"
"MA, XIAOMEI","WIEMELS, JOSEPH LEO"
"RAIBLE, DAVID W","RUBEL, EDWIN W"
"NELSON, SACHA B","GARRITY, PAUL"
"AGUS, MICHAEL SD","NADKARNI, VINAY M"
"NIZET, VICTOR","GHOSH, PARTHO"
"TYE-MURRAY, NANCY ANN","JERGER, SUSAN W."
"JAGGI, MEENA","CHAUHAN, SUBHASH C."
"SAIF, LINDA J.","VLASOVA, ANASTASIA NICKOLAEVNA"
"SAIF, LINDA J.","RAJASHEKARA, GIREESH"
"VLASOVA, ANASTASIA NICKOLAEVNA","RAJASHEKARA, GIREESH"
"SCHOEN, ROBERT E.","KINZLER, KENNETH W."
"ZHOU, QIFA","WANG, LIHONG"
"CIBOROWSKI, PAWEL S","FOX, HOWARD S"
"RICH, JOSIAH D","SOLOMON, LIZA"
"HAFER-MACKO, CHARLENE E","RYAN, ALICE S."
"FISHER, GARY J","QUAN, TAIHAO"
"SIMON, JULIAN A","RAIBLE, DAVID W"
"SIMON, JULIAN A","RUBEL, EDWIN W"
"RAIBLE, DAVID W","RUBEL, EDWIN W"
"SIMON, JULIAN A","RAIBLE, DAVID W"
"SIMON, JULIAN A","RUBEL, EDWIN W"
"RAIBLE, DAVID W","RUBEL, EDWIN W"
"SIM-SELLEY, LAURA J","NEGUS, SIDNEY S"
"MOSKOWITZ, IVAN PAUL","NOBREGA, MARCELO A."
"BURMEISTER, MARGIT","LI, JUN"
"FALLON, MICHAEL TODD","KAWUT, STEVEN M"
"YANG, DANZHOU","HURLEY, LAURENCE H."
"SPECTOR, ALEXANDER A","BROWNELL, WILLIAM E"
"SPECTOR, ALEXANDER A","FARRELL, BRENDA FRANCES"
"SPECTOR, ALEXANDER A","PEREIRA, FRED A"
"BROWNELL, WILLIAM E","FARRELL, BRENDA FRANCES"
"BROWNELL, WILLIAM E","PEREIRA, FRED A"
"FARRELL, BRENDA FRANCES","PEREIRA, FRED A"
"GERSHWIN, MERRILL E","RIDGWAY, WILLIAM M"
"HARTMANN, LYNN C.","PANKRATZ, V. SHANE"
"BORLONGAN, CESARIO V","GARBUZOVA-DAVIS, SVITLANA NICOLAI"
"THOMSON, ANGUS W","COOPER, DAVID KC"
"WIEBE, DEBORAH J","BERG, CYNTHIA A"
"RICH, JOSIAH D","GORDON, MICHAEL SCOTT"
"LAWSON, PAUL ALAN","LEWIS, CECIL M"
"MARTIN, CORBY K","CHURCH, TIMOTHY STEPHEN"
"ANTOCH, MARINA","GUDKOV, ANDREI V"
"DAVIGLUS, MARTHA L","VAN HORN, LINDA VERNER"
"DAVIGLUS, MARTHA L","NICHOLSON, JEREMY"
"DAVIGLUS, MARTHA L","ELLIOTT, PAUL"
"DAVIGLUS, MARTHA L","STAMLER, JEREMIAH"
"VAN HORN, LINDA VERNER","NICHOLSON, JEREMY"
"VAN HORN, LINDA VERNER","ELLIOTT, PAUL"
"VAN HORN, LINDA VERNER","STAMLER, JEREMIAH"
"NICHOLSON, JEREMY","ELLIOTT, PAUL"
"NICHOLSON, JEREMY","STAMLER, JEREMIAH"
"ELLIOTT, PAUL","STAMLER, JEREMIAH"
"MCCLINTOCK, MARTHA KENT","CONZEN, SUZANNE DANIELA"
"KANNANKERIL, PRINCE JOSEPH","KNOLLMANN, BJORN C"
"LEWINSOHN, DAVID M.","GOLD, MARIELLE C."
"BROWN, CHRISTOPHER A","BACON, SID P"
"TJEN-A-LOOI, STEPHANIE CHEE-YEE","LONGHURST, JOHN C"
"LOVE-GEFFEN, TRACY","SHAPIRO, LEWIS P."
"LANDRY, DONALD W","ZHAN, CHANG-GUO"
"LANDRY, DONALD W","WOODS, JAMES H"
"ZHAN, CHANG-GUO","WOODS, JAMES H"
"ZENT, ROY","SANDERS, CHARLES R"
"LEMON, STEPHENIE C.","PBERT, LORI"
"KLEYMAN, THOMAS R","HUGHEY, REBECCA P"
"GEDDES, JAMES W.","SULLIVAN, PATRICK G"
"YUAN, WEIHONG","MANGANO, FRANCESCO"
"ZHANG, WEI","FULLER, GREGORY NEAL"
"CURTIS, LESLEY H","HECKBERT, SUSAN R"
"CURTIS, LESLEY H","BENJAMIN, EMELIA J."
"HECKBERT, SUSAN R","BENJAMIN, EMELIA J."
"LINDENBACH, BRETT D.","PYLE, ANNA MARIE"
"BUCK, JOCHEN","LEVIN, LONNY R"
"LEVY, IFAT","GLIMCHER, PAUL W"
"SCHUPF, NICOLE","MAYEUX, RICHARD P"
"TYCKO, BENJAMIN","MAYEUX, RICHARD P"
"LARSON, RICHARD","HAWLEY, JOSHUA"
"HARLAND, RICHARD M","ROKHSAR, DANIEL SOLEYMAN"
"VINOGRADOV, SERGUEI V","GORANTLA, SANTHI"
"MARGULIES, SUSAN SHEPS","DUHAIME, ANN-CHRISTINE"
"FRIEDMAN, SAMUEL R","POUGET, ENRIQUE RODRIGUEZ"
"DECLERCQ, EUGENE R","LUKE, BARBARA JOAN"
"DECLERCQ, EUGENE R","DIOP, HAFSATOU"
"LUKE, BARBARA JOAN","DIOP, HAFSATOU"
"O'KEEFE, REGIS J","ZHANG, XINPING"
"WEMMIE, JOHN A","FARACI, FRANK M"
"WONG, JOYCE Y","KAPLAN, DAVID L."
"WONG, JOYCE Y","BUEHLER, MARKUS J."
"KAPLAN, DAVID L.","BUEHLER, MARKUS J."
"BRANCH, ANDREA D.","DIETERICH, DOUGLAS THOMAS"
"BRAUNSTEIN, MIRIAM S.","JANZEN, WILLIAM PERRY"
"GOLAND, ROBIN S","CLYNES, RAPHAEL A."
"LISS, JULIE M","LOTTO, ANDREW J"
"LAMPE, PAUL D.","HANASH, SAMIR M"
"GRADY, WILLIAM MALLORY","MARKOWITZ, SANFORD D."
"FRENCH, BRENT A","KRON, IRVING L."
"KURTZ, MATTHEW M","LERMAN, CARYN"
"DUPREZ, DANIEL A","JACOBS, DAVID R"
"MOTT, DAVID D","FISHER, JANET L"
"MAESTRIPIERI, DARIO","PARKER, KAREN J."
"BERGMAN, JACK","SPEALMAN, ROGER D"
"CAVE, JOHN W","BAKER, HARRIET D."
"LEMMON, VANCE P","GOLDBERG, JEFFREY L"
"LEMMON, VANCE P","BIXBY, JOHN L"
"GOLDBERG, JEFFREY L","BIXBY, JOHN L"
"NEWBERRY, RODNEY D","MILLER, MARK JAMES"
"FREIMER, NELSON B.","PALOTIE, AARNO"
"BLANGERO, JOHN","CURRAN, JOANNE E."
"BLANGERO, JOHN","GLAHN, DAVID C"
"CURRAN, JOANNE E.","GLAHN, DAVID C"
"AGRAWAL, DEEPAK K","YEATMAN, TIMOTHY J"
"PERSIDSKY, YURI","HAORAH, JAMES"
"REDLINE, SUSAN S.","LIN, XIHONG"
"FIELLIN, DAVID","D'ONOFRIO, GAIL"
"VON MEHREN, MARGARET","GODWIN, ANDREW K."
"PANDAK, WILLIAM M","GIL, GREGORIO"
"DIRUSSO, CONCETTA C.","BLACK, PAUL N."
"ISAACS, WILLIAM B","LIU, WENNUAN"
"MILLER, CAROL THERESE","SOLOMON, SONDRA ELICE"
"HOWARD, GEORGE","SACCO, RALPH L."
"HOWARD, GEORGE","PSATY, BRUCE M"
"HOWARD, GEORGE","REXRODE, KATHRYN M"
"HOWARD, GEORGE","ROSAND, JONATHAN"
"HOWARD, GEORGE","WORRALL, BRADFORD B"
"HOWARD, GEORGE","WOO, DANIEL"
"HOWARD, GEORGE","MESCHIA, JAMES F"
"HOWARD, GEORGE","KITTNER, STEVEN J"
"HOWARD, GEORGE","WASSERTHEIL-SMOLLER, SYLVIA"
"SACCO, RALPH L.","PSATY, BRUCE M"
"SACCO, RALPH L.","REXRODE, KATHRYN M"
"SACCO, RALPH L.","ROSAND, JONATHAN"
"SACCO, RALPH L.","WORRALL, BRADFORD B"
"SACCO, RALPH L.","WOO, DANIEL"
"SACCO, RALPH L.","MESCHIA, JAMES F"
"SACCO, RALPH L.","KITTNER, STEVEN J"
"SACCO, RALPH L.","WASSERTHEIL-SMOLLER, SYLVIA"
"PSATY, BRUCE M","REXRODE, KATHRYN M"
"PSATY, BRUCE M","ROSAND, JONATHAN"
"PSATY, BRUCE M","WORRALL, BRADFORD B"
"PSATY, BRUCE M","WOO, DANIEL"
"PSATY, BRUCE M","MESCHIA, JAMES F"
"PSATY, BRUCE M","KITTNER, STEVEN J"
"PSATY, BRUCE M","WASSERTHEIL-SMOLLER, SYLVIA"
"REXRODE, KATHRYN M","ROSAND, JONATHAN"
"REXRODE, KATHRYN M","WORRALL, BRADFORD B"
"REXRODE, KATHRYN M","WOO, DANIEL"
"REXRODE, KATHRYN M","MESCHIA, JAMES F"
"REXRODE, KATHRYN M","KITTNER, STEVEN J"
"REXRODE, KATHRYN M","WASSERTHEIL-SMOLLER, SYLVIA"
"ROSAND, JONATHAN","WORRALL, BRADFORD B"
"ROSAND, JONATHAN","WOO, DANIEL"
"ROSAND, JONATHAN","MESCHIA, JAMES F"
"ROSAND, JONATHAN","KITTNER, STEVEN J"
"ROSAND, JONATHAN","WASSERTHEIL-SMOLLER, SYLVIA"
"WORRALL, BRADFORD B","WOO, DANIEL"
"WORRALL, BRADFORD B","MESCHIA, JAMES F"
"WORRALL, BRADFORD B","KITTNER, STEVEN J"
"WORRALL, BRADFORD B","WASSERTHEIL-SMOLLER, SYLVIA"
"WOO, DANIEL","MESCHIA, JAMES F"
"WOO, DANIEL","KITTNER, STEVEN J"
"WOO, DANIEL","WASSERTHEIL-SMOLLER, SYLVIA"
"MESCHIA, JAMES F","KITTNER, STEVEN J"
"MESCHIA, JAMES F","WASSERTHEIL-SMOLLER, SYLVIA"
"KITTNER, STEVEN J","WASSERTHEIL-SMOLLER, SYLVIA"
"COMER, SANDRA D","BISAGA, ADAM"
"FONTOURA, BEATRIZ MA","ROTH, MICHAEL G"
"JOVE, RICHARD","YU, HUA E"
"COLSON, YOLONDA L","GRINSTAFF, MARK W."
"CHRISTMAN, GREGORY MICHAEL","MC CUNE, WILLIAM J"
"FORD, MARVELLA ELIZABETH","ESNAOLA, NESTOR F."
"BOGGON, TITUS JONATHON","KOLESKE, ANTHONY J"
"CHO, MICHAEL H.","SILVERMAN, EDWIN K"
"JANUSEK, LINDA","MATHEWS, HERBERT L."
"LI, LIANG","JOFFE, MARSHALL M"
"LI, LIANG","GREENE, TOM"
"JOFFE, MARSHALL M","GREENE, TOM"
"OMENS, JEFFREY H.","ROSS, ROBERT SCOTT"
"LIAO, RONGLIH","KHADEMHOSSEINI, ALI"
"RUGGIERI, MICHAEL RAYMOND","MILLER, LARRY S"
"SEGARS, WILLIAM P","SAMEI, EHSAN"
"HOWARD, DARLENE V.","HOWARD, JAMES H."
"SATIN, JONATHAN","ANDRES, DOUGLAS ALLEN"
"PRYHUBER, GLORIA S","MARIANI, THOMAS J"
"PRYHUBER, GLORIA S","RYAN, RITA MARIE"
"MARIANI, THOMAS J","RYAN, RITA MARIE"
"CHOUGNET, CLAIRE A","JOBE, ALAN H"
"BALLARD, PHILIP L.","KELLER, ROBERTA L"
"FERKOL, THOMAS W","HAMVAS, AARON"
"BOEKELOO, BRADLEY O","BROWN, STEPHANIE TIMMONS"
"GROSS, MYRON D","JACOBS, DAVID R"
"FISHER, GARY J","XU, YIRU"
"D'SOUZA, ROSHAN M","GLAZIER, JAMES ALEXANDER"
"PAN, WEI","SHEN, XIAOTONG TOM"
"LEACH, ROBIN JEAN","HERNANDEZ, JAVIER"
"SPERLING, REISA A.","JOHNSON, KEITH A."
"ERNST, JOEL D.","GAGNEUX, SEBASTIEN"
"FREEDMAN, DAVID J","WANG, XIAO-JING"
"XU, BAOJI","SIMERLY, RICHARD B"
"BROWNING, BRIAN LEE","BROWNING, SHARON"
"FU, LIANG-WU","LONGHURST, JOHN C"
"BUNGERT, JORG","STROUBOULIS, IOANNIS JOHN"
"ANDREEV, OLEG A","ENGELMAN, DONALD M."
"ANDREEV, OLEG A","RESHETNYAK, YANA K"
"ENGELMAN, DONALD M.","RESHETNYAK, YANA K"
"RUSSO, JOSE","HUANG, TIM H.-M."
"RUSSO, JOSE","LAMARTINIERE, CORAL"
"HUANG, TIM H.-M.","LAMARTINIERE, CORAL"
"LU, QIANG","PFEIFER, GERD P"
"RATNANATHER, JOHN TILAK","MILLER, MICHAEL I"
"RATNANATHER, JOHN TILAK","BARTA, PATRICK E"
"RATNANATHER, JOHN TILAK","YANTIS, STEVEN G"
"MILLER, MICHAEL I","BARTA, PATRICK E"
"MILLER, MICHAEL I","YANTIS, STEVEN G"
"BARTA, PATRICK E","YANTIS, STEVEN G"
"YEN, ANDREW","LIN, HENING"
"YEN, ANDREW","HAO, QUAN"
"LIN, HENING","HAO, QUAN"
"MIMIAGA, MATTHEW JAMES","GAROFALO, ROBERT"
"CREMO, CHRISTINE R","BAKER, JONATHAN E."
"PATEL, HEMAL H","ROTH, DAVID M"
"CULLEN, MARK RICHARD","PALANIAPPAN, LATHA P"
"GIFFORD, RENE H","DORMAN, MICHAEL F."
"BERNHARDT, THOMAS G","WALKER, SUZANNE"
"LANGEFELD, CARL D","BOWDEN, DONALD W"
"REDDY, SEKHAR P.","RABB, HAMID"
"LYOO, IN KYOON","RENSHAW, PERRY FRANKLIN"
"NELSON, CHARLES ALEXANDER","TAGER-FLUSBERG, HELEN"
"SWARTZ, MELODY ANN","RANDOLPH, GWENDALYN J"
"HAHN, THERESA E","PASQUINI, MARCELO C."
"JONES, WALTER KEITH","XU, MEIFENG"
"JONES, WALTER KEITH","ASHRAF, MUHAMMAD"
"XU, MEIFENG","ASHRAF, MUHAMMAD"
"THOMPSON, PAUL R","HOFSETH, LORNE J"
"GANEA, DOINA","TUMA, RONALD F"
"ALEXANDER, G. CALEB","EMERY, SHERRY L"
"ETKIN, AMIT","O'HARA, RUTH M"
"TURCO, SALVATORE J","BEVERLEY, STEPHEN M"
"KOLANOWSKI, ANN M","FICK, DONNA MARIE"
"WOHL, DAVID A","KNIGHT, KEVIN"
"WOHL, DAVID A","FLYNN, PATRICK M"
"WOHL, DAVID A","GOLIN, CAROL E"
"KNIGHT, KEVIN","FLYNN, PATRICK M"
"KNIGHT, KEVIN","GOLIN, CAROL E"
"FLYNN, PATRICK M","GOLIN, CAROL E"
"KRAUSE, DUNCAN C","JENSEN, GRANT J"
"BECKWITH, CURT G","KURTH, ANN ELIZABETH"
"BECKWITH, CURT G","KUO, IRENE"
"KURTH, ANN ELIZABETH","KUO, IRENE"
"BECKWITH, CURT G","KURTH, ANN ELIZABETH"
"BECKWITH, CURT G","KUO, IRENE"
"KURTH, ANN ELIZABETH","KUO, IRENE"
"RUBINOW, DAVID R.","GIRDLER, SUSAN S."
"ASHLEY-KOCH, ALLISON E","GREGORY, SIMON G"
"VAN VOORHIS, WESLEY C","GELB, MICHAEL H"
"VAN VOORHIS, WESLEY C","BUCKNER, FREDERICK SIMMONS"
"VAN VOORHIS, WESLEY C","VERLINDE, CHRISTOPHE L.M.J."
"GELB, MICHAEL H","BUCKNER, FREDERICK SIMMONS"
"GELB, MICHAEL H","VERLINDE, CHRISTOPHE L.M.J."
"BUCKNER, FREDERICK SIMMONS","VERLINDE, CHRISTOPHE L.M.J."
"VEENSTRA, RICHARD DAVID","YANG, JENNY J."
"BERCELI, SCOTT A","CHEUNG, ALFRED K"
"BERCELI, SCOTT A","ROY-CHAUDHURY, PRABIR"
"CHEUNG, ALFRED K","ROY-CHAUDHURY, PRABIR"
"ANDERSEN, SUSAN L","SONNTAG, KAI CHRISTIAN"
"LEVINE, MICHELE D","DANAHER, BRIAN G."
"GROSSMAN, TRUDY HOPE","RADCLIFF, ANNE KATHLEEN"
"KIELA, PAWEL R","GHISHAN, FAYEZ KHALAF"
"WALTON, MAUREEN A","CUNNINGHAM, REBECCA M."
"NATHANSON, MICHAEL H","EHRLICH, BARBARA E."
"TSE, CHUNG-MING","DONOWITZ, MARK"
"HANKINS, JANE SILVA","HILLENBRAND, CLAUDIA M"
"MAHAJAN, PRASHANT","KUPPERMANN, NATHAN"
"MAHAJAN, PRASHANT","RAMILO, OCTAVIO"
"KUPPERMANN, NATHAN","RAMILO, OCTAVIO"
"STRUNK, ROBERT","GARBUTT, JANE M"
"ECKERT, KRISTIN A","MAKOVA, KATERYNA"
"DEL NIDO, PEDRO J.","TANG, DALIN"
"DEL NIDO, PEDRO J.","GEVA, TAL"
"TANG, DALIN","GEVA, TAL"
"MUGLER, JOHN P","ALTES, TALISSA A"
"PEREZ-ESCAMILLA, RAFAEL","WAGNER, JULIE A"
"KEENEY, SCOTT","JASIN, MARIA"
"BEG, AMER AZIZ","YU, XUE-ZHONG"
"RENNAKER, ROBERT L","WILSON, DONALD A"
"IGNJATOVIC, ZELJKO","HEINZELMAN, WENDI B"
"IGNJATOVIC, ZELJKO","BOCKO, MARK F"
"IGNJATOVIC, ZELJKO","STURGE-APPLE, MELISSA L"
"IGNJATOVIC, ZELJKO","DAVIES, PATRICK T"
"IGNJATOVIC, ZELJKO","ROSERO, SPENCER Z"
"HEINZELMAN, WENDI B","BOCKO, MARK F"
"HEINZELMAN, WENDI B","STURGE-APPLE, MELISSA L"
"HEINZELMAN, WENDI B","DAVIES, PATRICK T"
"HEINZELMAN, WENDI B","ROSERO, SPENCER Z"
"BOCKO, MARK F","STURGE-APPLE, MELISSA L"
"BOCKO, MARK F","DAVIES, PATRICK T"
"BOCKO, MARK F","ROSERO, SPENCER Z"
"STURGE-APPLE, MELISSA L","DAVIES, PATRICK T"
"STURGE-APPLE, MELISSA L","ROSERO, SPENCER Z"
"DAVIES, PATRICK T","ROSERO, SPENCER Z"
"PASETTI, MARCELA F","PICKING, WENDY L"
"WEST, DELIA SMITH","HARVEY, JEAN R"
"JOFFE, RUSSELL T","STERN, ROBERT A"
"CLARK, JEANNE M","BRANCATI, FREDERICK L"
"KASHYAP, SANGEETA R","SCHAUER, PHILIP RAYMOND"
"KASHYAP, SANGEETA R","KIRWAN, JOHN P."
"SCHAUER, PHILIP RAYMOND","KIRWAN, JOHN P."
"WORTIS, HENRY H.","VANNIER, EDOUARD G"
"JONES BRANDO, LORRAINE V.","RISCOE, MICHAEL KEVIN"
"ENGEL, DANIEL A","HAYSTEAD, TIMOTHY A"
"ENGEL, DANIEL A","GARCIA-BLANCO, MARIANO A."
"HAYSTEAD, TIMOTHY A","GARCIA-BLANCO, MARIANO A."
"BUNGE, SILVIA A.","GHETTI, SIMONA"
"PING, PEIPEI","WANG, YIBIN"
"DICKINSON, MARY E","LARIN, KIRILL V"
"YAMAGUCHI, KEN","KEENER, JAY"
"YAMAGUCHI, KEN","TEEFEY, SHARLENE ANN"
"KEENER, JAY","TEEFEY, SHARLENE ANN"
"TUSZYNSKI, MARK H.","SAKAMOTO, JEFFREY"
"ROSS, BRIAN D.","CHENEVERT, THOMAS L"
"ROSS, BRIAN D.","SCHOTT, ANNE F"
"ROSS, BRIAN D.","GALBAN, CRAIG J"
"CHENEVERT, THOMAS L","SCHOTT, ANNE F"
"CHENEVERT, THOMAS L","GALBAN, CRAIG J"
"SCHOTT, ANNE F","GALBAN, CRAIG J"
"TATE, DEBORAH F.","SCIAMANNA, CHRISTOPHER N."
"SMITH, SELINA A","BLUMENTHAL, DANIEL S."
"KARNIK, ROHIT N","FAROKHZAD, OMID C"
"COHEN, ANDREW ROBERT","TEMPLE, SALLY"
"SAMPSON, NICOLE S","CAO, JIAN"
"RUBIN, EMANUEL","HAJNOCZKY, GYORGY"
"CRIBBS, DAVID HASTINGS","AGADJANYAN, MICHAEL G"
"SEBTI, SAID M","LAWRENCE, NICHOLAS JAMES"
"DE, SUVRANU","JONES, DANIEL BOUGERE"
"DE, SUVRANU","CAO, CAROLINE GL"
"JONES, DANIEL BOUGERE","CAO, CAROLINE GL"
"WALDRON, HOLLY BARRETT","ROBBINS, MICHAEL SHAWN"
"BRILES, DAVID E","JUHN, STEVEN SUNG KYUN"
"BRILES, DAVID E","FERRIERI, PATRICIA"
"JUHN, STEVEN SUNG KYUN","FERRIERI, PATRICIA"
"SAURO, HERBERT M.","BASSINGTHWAIGHTE, JAMES B"
"CAMARGO, CARLOS A.","BOUDREAUX, EDWIN D"
"CAMARGO, CARLOS A.","MILLER, IVAN W."
"BOUDREAUX, EDWIN D","MILLER, IVAN W."
"LINDBERG, IRIS","ROTH, BRYAN L."
"CAPLAN, STEVEN H","SORGEN, PAUL L"
"TOPALIAN, SUZANNE LOUISE","MARIUZZA, ROY A"
"SHEA, LONNIE D","LOWE, WILLIAM L"
"ZENATI, MARCO A.","RIVIERE, CAMERON N"
"BLANTON, SUSAN HALLORAN","RUNDEK, TATJANA"
"RABCHEVSKY, ALEXANDER GEORGE","SULLIVAN, PATRICK G"
"ABDEL-MALEK, ZALFA","LEACHMAN, SANCY ANN"
"LU, HONG","KLAASSEN, CURTIS DEAN"
"LU, HONG","ZHONG, XIAO-BO"
"KLAASSEN, CURTIS DEAN","ZHONG, XIAO-BO"
"HYNES, JAMES THOMAS","PINES, EHUD"
"SMITH, DONALD R","LUCCHINI, ROBERTO G"
"KHOSLA, SUNDEEP","AMIN, SHREYASEE"
"MURPHY, WILLIAM L.","VANDERBY, RAY"
"SNEYD, A. JAMES R.","YULE, DAVID I"
"RICCI, JOHN","O'CONNOR, J PATRICK"
"RICCI, JOHN","UHRICH, KATHRYN ELIZABETH"
"O'CONNOR, J PATRICK","UHRICH, KATHRYN ELIZABETH"
"AON, MIGUEL ANTONIO","PAOLOCCI, NAZARENO"
"AON, MIGUEL ANTONIO","AKAR, FADI GABRIEL"
"PAOLOCCI, NAZARENO","AKAR, FADI GABRIEL"
"KUFE, DONALD W.","WONG, KWOK KIN"
"DAS, RHIJU","TREUILLE, ADRIEN GEORGES"
"LANZA, GREGORY M","WAGNER, ELIZABETH"
"SHIFFMAN, SAUL","MCCARTHY, DANIELLE ERIN"
"GROSSMAN, DOUGLAS","CASSIDY, PAMELA B."
"WAGNER, MICHAEL MATTHEW","HOGAN, WILLIAM R"
"JOHNSON, F. BRAD","BERGER, SHELLEY L"
"JOHNSON, F. BRAD","BONINI, NANCY M"
"BERGER, SHELLEY L","BONINI, NANCY M"
"PETTINATI, HELEN M","KRANZLER, HENRY RICHARD"
"LI, MING D","JOHNSON, BANKOLE A"
"LI, MING D","AIT-DAOUD, NASSIMA"
"JOHNSON, BANKOLE A","AIT-DAOUD, NASSIMA"
"HU, XIAOPING P","LIU, TIANMING"
"KNOPMAN, DAVID S","JACK, CLIFFORD R."
"LI, MINGYAO","REILLY, MUREDACH P"
"MENNELLA, JULIA ANNE","TRABULSI, JILLIAN CHRISTINE"
"DIANTONIO, AARON","MILBRANDT, JEFFREY D"
"GOLLUB, RANDY LYANNE","MURPHY, SHAWN N"
"GOLLUB, RANDY LYANNE","GRANT, PATRICIA ELLEN"
"MURPHY, SHAWN N","GRANT, PATRICIA ELLEN"
"COHN, BARBARA A","TERRY, MARY BETH"
"COHN, BARBARA A","TERRY, MARY BETH"
"MCLEAN, JOHN ALAN","BACHMANN, BRIAN O"
"LEADERER, BRIAN P","GENT, JANNEANE FERGUSON"
"LEADERER, BRIAN P","HOLFORD, THEODORE R"
"GENT, JANNEANE FERGUSON","HOLFORD, THEODORE R"
"MURPHY, SUSAN KAY","HOYO, CATHRINE"
"SHARP, KENDRA V","JOVANOVIC, GORAN N"
"SHARP, KENDRA V","MCGUIRE, JOSEPH"
"SHARP, KENDRA V","PAUL, BRIAN K"
"JOVANOVIC, GORAN N","MCGUIRE, JOSEPH"
"JOVANOVIC, GORAN N","PAUL, BRIAN K"
"MCGUIRE, JOSEPH","PAUL, BRIAN K"
"BROWNLEE, MICHAEL A","GURTNER, GEOFFREY C"
"LEIN, PAMELA J","FRYER, ALLISON DEBORAH"
"KAREKEN, DAVID A.","CONSIDINE, ROBERT V"
"WONDISFORD, FREDRIC E.","HUSSAIN, MEHBOOB A"
"TEITELBAUM, SUSAN L","CHEN, JIA"
"TEITELBAUM, SUSAN L","CHEN, JIA"
"KRAUS, NINA","DHAR, SUMITRAJIT"
"RULL, RUDOLPH P.","HORN-ROSS, PAMELA L"
"BELL, MICHELLE L","BELANGER, KATHLEEN"
"BROWN, WILLIAM ROY","STUMP, DAVID"
"HAMMER, MICHAEL F","WALL, JEFFREY D"
"WRENSCH, MARGARET R.","WIENCKE, JOHN K."
"SERHAN, CHARLES NICHOLAS","IRIMIA, DANIEL"
"SERHAN, CHARLES NICHOLAS","VAN DYKE, THOMAS ELLIOTT"
"IRIMIA, DANIEL","VAN DYKE, THOMAS ELLIOTT"
"MIASKOWSKI, CHRISTINE A.","AOUIZERAT, BRADLEY E"
"AGHALOO, TARA L","TETRADIS, SOTIRIOS"
"BRUNHAM, ROBERT CONRAD","FOSTER, LEONARD J"
"HESS, DAVID CHARLES","DUNHAM, MAITREYA J"
"AGLYAMOV, SALAVAT R","LARIN, KIRILL V"
"STAMER, W DANIEL","OVERBY, DARRYL R"
